BIKMOSS;SKIBOMS
AACIKRS;SKIRACA
EJKLSSU;SKJULES
EJKRSSØ;SKJØRES
GKMOSSU;SKOGMUS
BKRRSUÅ;SKRÅBRU ÅRSBRUK
EKRRSVÆ;SKVÆRER
EFKLSSY;SKYFLES
EKKLOSS;SLOKKES
BEGMSYÅ;SMÅBYGE
ADMNSSÅ;SMÅDANS
FMRSTYÅ;SMÅFYRT
AHLMSVÅ;SMÅHVAL
EKMOSSÅ;SMÅKOSE SMÅOKSE
EEMNSSÅ;SMÅSENE
AIKMSSÅ;SMÅSKIA
EMRSSVÅ;SMÅVERS
AGGINNS;SNAGING
EEKKNNS;SNEKKEN
GINNRSÆ;SNÆRING
AHNOSSØ;SNØHOSA
DINNSVØ;SNØVIND
LOSSTVØ;SOLSTØV
GLNOOSV;SOLVOGN
AADOPSV;SOPVADA
EKOSSVY;SOVESYK
DEEEPST;SPEEDET
BDLOPSÅ;SPÅBLOD
EELLSST;STELLES
EORSTTT;STOTRET STRETTO TROTTES
AIRSTTT;STRITTA TARSITT
EFFRSTU;STUFFER
EEENPSU;SUPEENE
AELLSSV;SVALLES
EJORSSV;SVOSJER
ENSSTTY;SYTNEST TYSTNES
DELSSVY;SYVDELS
DFLOSVY;SYVFOLD
AFJKLTØ;TAKFJØL
AAHKLTØ;TAKHØLA
AAFKRTT;TAKRAFT
AAGILLT;TALALGI TILLAGA
DFIIKST;TIDFISK
DILMTTØ;TILDØMT
ILLRTTU;TILLURT
AILLPTØ;TILLØPA
AEFJSST;TJAFSES
DEEJTUV;TJUVEDE
AAOSTTV;TOSTAVA
DEEOTTÅ;TOTÅEDE
AEMMRRT;TRAMMER
FJLORTØ;TROFJØL
ELLRRTY;TRYLLER
BBELRTØ;TRØBBEL
EKKRRTØ;TRØKKER
APRTTUÅ;TRÅPUTA
CGIKNTU;TUCKING
EEJSTTU;TUSJETE
AAHIKTV;TVIHAKA
ABRTTYØ;TØYBART
EFNNSUY;UFYSNEN
HIKSUVØ;UHØVISK
EGIKLUU;UKUELIG
DELPUYØ;UPLØYDE
EPSTTUÅ;UPÅSETT
IKKRRSU;URSKRIK
DDERTUY;URYDDET UTRYDDE
EJKRSUÆ;USKJÆRE ÆRESJUK
AAKKNSU;USNAKKA
EJKMPTU;UTKJEMP
KLTUVYØ;UTKLØYV
DDEPSTU;UTSPEDD
AKKSTTU;UTSTAKK
ARRTTUØ;UTTØRRA
ELTTUYØ;UTØYLET
AAKNNSV;VANNAKS
AHNNSUV;VANNHUS
AFRTTVØ;VARFØTT
AABDMRV;VARMBAD
ALLPRUV;VARPULL
EGGLSVØ;VEGGLØS
EKLLTVY;VELLYKT
EEFJLSV;VELSJEF
AERTVVØ;VEVTRØA
EEFITTV;VIFTETE
EHILLTV;VILLHET
ILLMOSV;VILLSOM
IKSSTVØ;VISKØST VISSTØK
DEELLOV;VOLLEDE
ABKORVÆ;VÆRBOKA
ARSTTVÆ;VÆRSATT
ABRRTVÅ;VÅRBART
ELRSTWY;WELTSYR
EEIKNSW;WIENSKE
EPPRSTY;YPPERST
EGGRSTÆ;ÆRSTEGG
AEFRTTÆ;ÆTTEFAR
EKKLMOØ;ØKOMELK
DDEIKLØ;ØLEDDIK
DEHSUYØ;ØYDEHUS
DEEIVYØ;ØYDEVEI
ELMTYÅØ;ØYMÅLET
EEKRRÅØ;ÅKERØER
EEGGNSÅ;ÅSEGGEN
AABISST;ABASIST
ADDEERR;ADDERER
AAILMSS;ALMISSA MISSALA
AHMSSTU;AMTSHUS STAMHUS
AAEEHLP;APEHALE
AAEJKPT;APEJAKT
AAGIMOP;APOGAMI
AEEELLR;AREELLE
AHLLMRU;ARMHULL
AABLRSÆ;ASALBÆR
ADJORRU;AURJORD
AAKMRRU;AURMARK URMARKA
AAFKLOV;AVFOLKA
AEHRRVÅ;AVHÅRER
AELRVVØ;AVLØVER
AAEPRRV;AVPARER
AEOPPSV;AVSOPPE
APSTTVØ;AVSTØPT
AEEGRVV;AVVEGER AVVERGE VEGARVE
ABBDEKO;BADEBOK BOKBADE
AABKLTT;BAKTALT
AABLLST;BALLAST
ABELLVØ;BALLØVE
BDEERRÅ;BEDÅRER RÅBREDE
BEEHSVØ;BEHØVES
BDEEEIT;BEITEDE
BEKKMRØ;BEKMØRK
BEELSSY;BELYSES
ABBEEMR;BEMBAER
BEEEKMR;BEMERKE
BEERRVØ;BERØVER
AABEKKT;BETAKKA
BBEILRV;BILBREV
BIILPST;BILTIPS
ABGILLV;BILVALG
BDLLOSU;BLODLUS BULLDOS
BELOOPR;BLOOPER
ABGLLSY;BLYGSLA
BEILRRÆ;BLÆRERI
BEGGLTØ;BLØGGET
BIKLOPÅ;BLÅKOPI
BELLRUÅ;BLÅLUER
BLRSTÅÆ;BLÅSTÆR
BELTYÅØ;BLÅØYET
AABGKOV;BOKGAVA
ABKKOPS;BOKSKAP
BFLMOTØ;BOMLØFT
BEMMOST;BOMMEST
BENNOSS;BONSENS
BEEMMRS;BREMMES
BDHLORÅ;BRÅHOLD
BNRSSUÅ;BRÅSNUS
ABDDORU;BUDORDA UBRODDA
BDERTUU;BUDRUTE
BEGLRUU;BURUGLE LUGUBER LUGUBRE
BEHLSSU;BUSHELS
BFIRSSU;BUSSFRI
BDEEFIY;BYFEIDE
ABGGRTY;BYGGART
BEGGIRY;BYGGERI
BEJKLOY;BYKJOLE
AABKMRY;BYMARKA
BEMRRUY;BYMURER MURBYER
ABBNRSY;BYSBARN
BENNSYØ;BYSNØEN
BEFILTÆ;BÆLFEIT
BHIKMSØ;BØHMISK
BEELLTØ;BØLLETE
BDEETTØ;BØTTEDE
BIKNNSÅ;BÅNNSKI
BDMRTÅØ;BÅTDRØM
BFMORTÅ;BÅTFORM
AABGLTÅ;BÅTLAGA
ABMSTTÅ;BÅTMAST
ACGHINS;CASHING
ACEESTT;CASTETE
AACEELR;CEREALA
CEEIRRS;CERISER
ABCILTU;CUBITAL
CELMORØ;CØLOMER
ADEGHJM;DAGHJEM
AADEHMU;DAMEHUA
ABCDEEL;DEBACLE
ADEELMM;DELAMME LAMMEDE
DEEEKSV;DEVEKSE
AADIIKR;DIARKIA
BDIKKOT;DIKTBOK
ADIILUV;DILUVIA
DEEIMMR;DIMMERE RIMMEDE
CDEHIST;DITCHES
ABDDILO;DOBILDA
ADIOPPR;DOPAPIR
ADERTTT;DRATTET
BDIRTTÅ;DRITBÅT
DDIMRTU;DRITDUM
DDELORR;DRODLER
DEMMRSØ;DRØMMES
DEERRYØ;DRØYERE DYREØRE
DGGKOSU;DUGGSKO SKOGGUD
ADGLSUU;DUGLAUS GUDLAUS
DDLRSUØ;DØDSLUR
DELRSØØ;DØRLØSE
DEKLLOÅ;DÅKOLLE
CEHINSU;ECHINUS
DEEEFST;EDFESTE FESTEDE
ADEGGHO;EGGHODA
EEEIKSY;EIESYKE
EEEIJRS;EJISERE
DELLMSÅ;ELDSMÅL MELSÅLD
EELLMRÅ;ELMÅLER
AAEFGTT;FAGETAT
ADFLLRØ;FALLDØR
AABEFRR;FARBARE
AFLSSTÅ;FASTLÅS FASTSLÅ LÅSFAST
DEEEFIR;FEIDERE FEIREDE REIFEDE
EFHLRTÆ;FELTHÆR
EFMMORS;FEMROMS
EEFIRRÅ;FERIEÅR
EEFJKRØ;FERJEKØ
EFKKRTÅ;FETRÅKK
DEEFILL;FILDELE
EFIIKLM;FIMLEIK
AEFJLSS;FJASLES
EFJORTT;FJOTTER FORJETT
FJLRSUØ;FJØRLUS
AEFLMMT;FLAMMET
EFGLLRY;FLYGLER
AFKLLRY;FLYKLAR
EEFNNSY;FNYSENE
BDFGORY;FORBYGD
ADFORRY;FORDYRA
EFFIORT;FORFEIT
FKORRTY;FORRYKT
DEFORRÅ;FORRÅDE
FIOPRSS;FORSPIS
DFORRTØ;FORTRØD
EFORRVØ;FORØVER OVERFØR
ABFLLOT;FOTBALL
DDEFLOT;FOTLEDD
DEFMRRØ;FREMDØR
EEFHRSS;FRESHES
EEFRRTT;FRETTER
BDFIORR;FRIBORD
BFIKRRU;FRIBRUK
BEFIRRY;FRIBYER
EFILLRR;FRILLER
ABFLRYÅ;FYRBÅLA
EFIKSSY;FYSISKE
AGHLTTØ;GATTHØL
EEGJNSS;GJENSES
DEEGJRR;GJERDER
DEGJKUØ;GJØKDUE
